batter_id,batter_trackman_id,exact_game_count,row_count,second_tm_id,second_exact_games,margin,ratio,left_consistency,right_consistency,hand_match_rate,n_candidates,mapping_confidence,mapping_confidence_bucket,mapping_selected_loose,mapping_selected_medium,mapping_selected_strict
23420,76290,528,8486,,0,528,528.0,1.0,1.0,1.0,1,6.270988431858299,very_high,True,True,True
22660,62415,512,8419,,0,512,512.0,1.0,1.0,1.0,1,6.240275845170769,very_high,True,True,True
22103,79109,489,7939,,0,489,489.0,1.0,1.0,1.0,1,6.194405391104672,very_high,True,True,True
22013,78224,480,7469,,0,480,480.0,1.0,1.0,1.0,1,6.175867270105761,very_high,True,True,True
22066,77532,465,7587,,0,465,465.0,1.0,1.0,1.0,1,6.144185634125646,very_high,True,True,True
22102,79192,465,7204,,0,465,465.0,1.0,1.0,1.0,1,6.144185634125646,very_high,True,True,True
22816,66108,455,8129,,0,455,455.0,1.0,1.0,1.0,1,6.1224928095143865,very_high,True,True,True
22130,79231,450,7240,,0,450,450.0,1.0,1.0,1.0,1,6.111467339502679,very_high,True,True,True
21992,78513,443,6852,,0,443,443.0,1.0,1.0,1.0,1,6.095824562432225,very_high,True,True,True
21818,76232,441,6617,,0,441,441.0,1.0,1.0,1.0,1,6.091309882077698,very_high,True,True,True
23281,67304,441,7214,,0,441,441.0,1.0,1.0,1.0,1,6.091309882077698,very_high,True,True,True
21696,75847,436,7266,,0,436,436.0,1.0,1.0,1.0,1,6.07993319509559,very_high,True,True,True
22126,79240,435,6283,,0,435,435.0,1.0,1.0,1.0,1,6.077642243349034,very_high,True,True,True
23471,76313,429,6963,,0,429,429.0,1.0,1.0,1.0,1,6.063785208687608,very_high,True,True,True
22283,61102,426,5515,,0,426,426.0,1.0,1.0,1.0,1,6.056784013228625,very_high,True,True,True
22455,78288,423,5875,60343.0,1,422,423.0,0.9952941176470588,1.0,1.0,3,6.021264121324983,very_high,True,True,True
22410,62404,422,6961,,0,422,422.0,1.0,1.0,1.0,1,6.0473721790462776,very_high,True,True,True
21990,78548,420,5937,,0,420,420.0,1.0,1.0,1.0,1,6.042632833682381,very_high,True,True,True
22127,79215,415,6567,,0,415,415.0,1.0,1.0,1.0,1,6.030685260261263,very_high,True,True,True
21627,74540,411,5343,,0,411,411.0,1.0,1.0,1.0,1,6.021023349349527,very_high,True,True,True
22146,79365,410,5860,,0,410,410.0,1.0,1.0,1.0,1,6.018593214496234,very_high,True,True,True
23443,75125,406,6371,,0,406,406.0,1.0,1.0,1.0,1,6.008813185442595,very_high,True,True,True
22133,79402,404,6311,,0,404,404.0,1.0,1.0,1.0,1,6.003887067106539,very_high,True,True,True
21660,75334,397,5986,,0,397,397.0,1.0,0.9974874371859297,1.0,1,5.971410668587743,very_high,True,True,True
23693,69737,392,6368,,0,392,392.0,1.0,1.0,1.0,1,5.973809611869261,very_high,True,True,True
22430,62244,391,4767,,0,391,391.0,1.0,1.0,1.0,1,5.971261839790462,very_high,True,True,True
22606,62907,391,6411,,0,391,391.0,1.0,1.0,1.0,1,5.971261839790462,very_high,True,True,True
21821,76267,388,6213,,0,388,388.0,1.0,1.0,1.0,1,5.963579343618446,very_high,True,True,True
22109,79608,387,5963,,0,387,387.0,1.0,1.0,1.0,1,5.961005339623274,very_high,True,True,True
22779,64166,384,5986,,0,384,384.0,1.0,1.0,1.0,1,5.953243334287785,very_high,True,True,True
